片名,上映年份,评分,评价人数,导演,编剧,主演,类型,国家/地区,语言,时长(分钟)
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,摩根·弗里曼,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,鲍勃·冈顿,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,威廉姆·赛德勒,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,克兰西·布朗,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,吉尔·贝罗斯,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,马克·罗斯顿,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,詹姆斯·惠特摩,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,杰弗里·德曼,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,拉里·布兰登伯格,剧情 / 犯罪,美国,英语,142
肖申克的救赎,1994,9.7,2950501,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,尼尔·吉恩托利,剧情 / 犯罪,美国,英语,142
